No  probDamAlongTerSlope panta
1           0.006048387     0
2           0.157258065     1
3           0.264112903     2
4           0.203629032     3
5           0.157258065     4
6           0.092741935     5
7           0.032258065     6
8           0.030241935     7
9           0.018145161     8
10          0.008064516     9
11          0.006048387    10
12          0.004032258    11
13          0.002016129    12
14          0.004032258    15
15          0.006048387    16
16          0.002016129    17
17          0.002016129    19
18          0.002016129    21
19          0.002016129    23
